Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
16.151,3.282,4.999,16.407,30.45,2285.77,32.80
23.663,3.275,4.999,16.373,30.40,2285.75,32.80
30.609,3.273,4.999,16.361,30.30,2285.77,32.80
37.565,3.268,4.999,16.338,30.25,2285.75,32.82
44.490,3.573,0.000,0.000,30.25,2285.77,32.83
52.445,3.275,4.999,16.373,30.20,2285.77,32.85
59.423,3.268,4.999,16.338,30.20,2285.76,32.87
66.347,3.266,4.999,16.327,30.20,2285.77,32.89
73.313,3.264,4.999,16.316,30.25,2285.78,32.89
80.286,3.259,4.999,16.293,30.20,2285.79,32.93
87.244,3.257,4.999,16.281,30.15,2285.81,32.97
94.173,3.255,4.999,16.270,30.10,2285.79,33.06
101.119,3.252,4.999,16.258,30.10,2285.78,33.14
108.058,3.250,4.999,16.247,30.05,2285.81,33.23
115.017,3.248,4.999,16.235,30.00,2285.79,33.36
121.965,3.246,4.999,16.224,30.00,2285.81,33.45
128.933,3.243,4.999,16.213,30.00,2285.79,33.50
135.883,3.241,4.999,16.201,30.00,2285.79,33.52
142.842,3.236,4.999,16.178,30.00,2285.83,33.51
149.805,3.234,4.999,16.167,30.00,2285.82,33.54
156.766,3.232,4.999,16.155,30.00,2285.81,33.58
163.717,3.230,4.999,16.144,30.00,2285.81,33.67
171.708,3.227,4.999,16.132,30.00,2285.81,33.70
178.618,3.223,4.999,16.110,30.00,2285.80,33.72
185.557,3.220,4.999,16.098,30.00,2285.82,33.73
192.518,3.218,4.999,16.087,30.05,2285.82,33.74
199.468,3.216,4.999,16.075,30.05,2285.82,33.75
206.438,3.214,4.999,16.064,30.05,2285.83,33.74
213.358,3.211,4.999,16.052,30.05,2285.83,33.74
220.249,3.207,4.999,16.029,30.05,2285.83,33.78
227.261,3.204,4.999,16.018,30.05,2285.82,33.82
234.226,3.202,4.999,16.007,30.05,2285.83,33.82
241.176,3.200,4.999,15.995,30.05,2285.83,33.85
248.138,3.198,4.999,15.984,30.00,2285.83,33.88
255.083,3.195,4.999,15.972,29.90,2285.83,34.02
262.027,3.191,4.999,15.949,29.90,2285.82,34.12
269.025,3.188,4.999,15.938,29.90,2285.84,34.17
275.959,3.186,4.999,15.927,29.90,2285.82,34.24
282.894,3.184,4.999,15.915,29.95,2285.83,34.29
290.827,3.181,4.999,15.904,29.95,2285.83,34.33
298.809,3.177,4.999,15.881,29.95,2285.84,34.38
