Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
14.818,3.605,0.000,0.000,27.25,2288.91,32.90
22.154,3.603,0.000,0.000,27.35,2288.89,33.38
29.074,3.605,0.000,0.000,27.55,2288.89,34.03
36.052,3.603,0.000,0.000,27.90,2288.89,34.40
42.998,3.605,0.000,0.000,28.25,2288.89,34.59
49.963,3.605,0.000,0.000,28.70,2288.89,34.55
56.913,3.605,0.000,0.000,29.15,2288.89,34.46
63.863,3.605,0.000,0.000,29.60,2288.90,34.41
70.804,3.605,0.000,0.000,29.85,2288.91,34.34
77.775,3.605,0.000,0.000,30.05,2288.90,34.28
84.726,3.605,0.000,0.000,30.15,2288.90,34.25
91.680,3.605,0.000,0.000,30.30,2288.90,34.19
98.630,3.605,0.000,0.000,30.40,2288.88,34.14
