Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
8247.288,3.827,4.999,19.130,30.00,2286.21,33.52
8254.892,3.818,4.999,19.084,30.00,2286.21,33.50
8261.833,3.809,4.999,19.039,29.95,2286.21,33.56
8268.785,3.804,4.999,19.016,29.95,2286.20,33.67
8275.750,3.797,4.999,18.981,29.90,2286.20,33.82
8282.704,3.793,4.999,18.958,29.90,2286.21,33.87
8289.634,3.790,4.999,18.947,29.95,2286.21,33.88
8296.653,3.786,4.999,18.924,29.95,2286.21,33.87
8303.563,3.783,4.999,18.913,30.00,2286.22,33.86
8310.524,3.779,4.999,18.890,30.05,2286.19,33.84
8317.483,3.777,4.999,18.878,30.05,2286.20,33.84
8324.433,3.774,4.999,18.867,30.00,2286.20,33.86
8331.370,3.772,4.999,18.856,30.00,2286.21,33.91
8338.322,3.770,4.999,18.844,29.95,2286.21,33.91
8345.299,3.767,4.999,18.833,29.95,2286.21,33.89
8352.232,3.765,4.999,18.821,30.00,2286.20,33.89
8359.177,3.763,4.999,18.810,30.00,2286.22,33.91
8366.142,3.761,4.999,18.798,29.95,2286.20,33.96
8373.078,3.758,4.999,18.787,29.95,2286.21,34.00
8380.037,3.758,4.999,18.787,29.95,2286.21,34.02
8387.048,3.756,4.999,18.775,30.00,2286.21,34.02
8393.950,3.754,4.999,18.764,30.05,2286.21,33.98
8400.900,3.754,4.999,18.764,30.05,2286.21,33.98
8407.862,3.751,4.999,18.753,30.05,2286.22,33.95
8414.800,3.749,4.999,18.741,30.10,2286.22,33.91
8421.795,3.749,4.999,18.741,30.10,2286.22,33.87
8428.773,3.747,4.999,18.730,30.05,2286.22,33.91
8435.685,3.745,4.999,18.718,30.00,2286.22,33.90
8442.664,3.745,4.999,18.718,30.00,2286.22,33.95
8449.607,3.742,4.999,18.707,30.00,2286.22,33.93
8456.568,3.740,4.999,18.695,30.00,2286.21,33.94
8463.501,3.740,4.999,18.695,30.00,2286.22,33.95
8470.464,3.738,4.999,18.684,30.00,2286.21,33.93
8477.427,3.738,4.999,18.684,30.00,2286.22,33.93
8484.375,3.735,4.999,18.672,29.95,2286.23,33.99
8491.322,3.735,4.999,18.672,29.95,2286.22,34.03
8498.267,3.733,4.999,18.661,29.95,2286.20,34.06
8505.225,3.733,4.999,18.661,29.95,2286.22,34.07
8512.204,3.731,4.999,18.650,29.95,2286.21,34.11
8519.110,3.731,4.999,18.650,29.95,2286.22,34.12
8526.116,3.729,4.999,18.638,29.95,2286.22,34.15
8533.023,3.729,4.999,18.638,29.90,2286.22,34.28
8539.986,3.726,4.999,18.627,29.85,2286.21,34.40
8546.908,3.726,4.999,18.627,29.85,2286.21,34.50
8553.881,3.724,4.999,18.615,29.90,2286.20,34.48
8560.845,3.724,4.999,18.615,29.95,2286.21,34.47
8567.806,3.722,4.999,18.604,29.95,2286.22,34.45
8574.756,3.722,4.999,18.604,30.00,2286.21,34.39
8581.703,3.719,4.999,18.592,30.00,2286.20,34.38
8588.636,3.719,4.999,18.592,30.00,2286.19,34.36
8595.627,3.719,4.999,18.592,30.00,2286.21,34.33
