Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
14.910,3.603,0.000,0.000,18.90,2288.91,23.31
22.782,3.603,0.000,0.000,19.20,2288.91,24.49
29.691,3.603,0.000,0.000,19.75,2288.89,25.81
37.649,3.603,0.000,0.000,20.45,2288.89,26.90
44.607,3.603,0.000,0.000,21.20,2288.90,28.25
51.553,3.603,0.000,0.000,22.10,2288.89,29.29
58.519,3.603,0.000,0.000,23.05,2288.91,30.61
65.485,3.603,0.000,0.000,24.10,2288.91,31.79
72.471,3.603,0.000,0.000,25.15,2288.89,32.81
79.408,3.603,0.000,0.000,26.25,2288.88,32.78
86.353,3.603,0.000,0.000,27.45,2288.90,32.80
93.267,3.603,0.000,0.000,28.40,2288.89,32.92
100.253,3.603,0.000,0.000,29.30,2288.90,32.93
107.180,3.603,0.000,0.000,29.95,2288.90,32.94
114.135,3.603,0.000,0.000,30.45,2288.89,32.99
121.096,3.603,0.000,0.000,30.90,2288.89,33.12
128.051,3.603,0.000,0.000,31.15,2288.89,33.18
134.988,3.603,0.000,0.000,31.30,2288.89,33.19
141.976,3.603,0.000,0.000,31.50,2288.89,33.20
148.891,3.603,0.000,0.000,31.50,2288.90,33.23
155.838,3.603,0.000,0.000,31.50,2288.89,33.25
162.825,3.603,0.000,0.000,31.55,2288.89,33.24
169.753,3.603,0.000,0.000,31.55,2288.89,33.24
176.704,3.603,0.000,0.000,31.45,2288.88,33.24
183.652,3.603,0.000,0.000,31.35,2288.89,33.20
190.594,3.603,0.000,0.000,31.25,2288.88,33.18
197.574,3.603,0.000,0.000,31.10,2288.89,33.16
204.534,3.603,0.000,0.000,30.95,2288.89,33.14
211.484,3.603,0.000,0.000,30.85,2288.89,33.13
218.434,3.603,0.000,0.000,30.80,2288.87,33.07
225.384,3.603,0.000,0.000,30.65,2288.88,33.06
232.315,3.603,0.000,0.000,30.55,2288.88,33.02
239.295,3.603,0.000,0.000,30.40,2288.88,33.06
246.237,3.603,0.000,0.000,30.35,2288.88,33.09
253.247,3.603,0.000,0.000,30.20,2288.89,33.12
260.148,3.603,0.000,0.000,30.15,2288.88,33.20
267.098,3.603,0.000,0.000,30.10,2288.88,33.17
274.088,3.603,0.000,0.000,30.05,2288.87,33.23
281.019,3.603,0.000,0.000,30.05,2288.88,33.17
287.930,3.603,0.000,0.000,30.00,2288.88,33.15
295.870,3.603,0.000,0.000,29.95,2288.90,33.33
302.851,3.603,0.000,0.000,29.90,2288.87,33.44
309.792,3.603,0.000,0.000,29.90,2288.87,33.45
316.771,3.603,0.000,0.000,29.90,2288.88,33.47
323.712,3.603,0.000,0.000,29.90,2288.86,33.48
330.663,3.603,0.000,0.000,29.90,2288.88,33.47
337.643,3.603,0.000,0.000,29.90,2288.87,33.50
344.585,3.603,0.000,0.000,29.90,2288.88,33.51
351.524,3.603,0.000,0.000,29.90,2288.87,33.53
358.493,3.603,0.000,0.000,29.90,2288.87,33.52
365.426,3.603,0.000,0.000,29.95,2288.85,33.49
