Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
14.498,3.605,0.000,0.000,30.20,2288.89,34.03
22.347,3.605,0.000,0.000,30.15,2288.89,33.98
29.285,3.605,0.000,0.000,30.05,2288.89,33.99
36.261,3.605,0.000,0.000,30.00,2288.88,34.14
43.196,3.605,0.000,0.000,30.00,2288.89,34.10
50.192,3.605,0.000,0.000,30.00,2288.90,34.07
57.098,3.605,0.000,0.000,30.00,2288.88,34.02
65.036,3.605,0.000,0.000,30.00,2288.90,33.96
72.065,3.605,0.000,0.000,30.00,2288.89,33.91
79.021,3.605,0.000,0.000,30.00,2288.90,33.87
85.911,3.605,0.000,0.000,30.00,2288.90,33.82
